Year,Entity Type,Entity Name,EIN,Purpose,Address,Legal Domicile,Total Income,Total Assets at year end,Percentage Ownership,Direct Controlling Entity,Notes
2019,Related Corporation or Trust,Commodore Scottish Patron II LP,-,Investments,"50 Lothian Road Festival Square, Edinburg, Scotland, UK",UK,"-$1,733,282","$4,767,305",-,VU,
2019,Related Corporation or Trust,Emergent Pro Alia Fund Sub Fund Emergent African Land Fund,98-0600835,Investments,"20 Boulevard Emmanuel Servais L-2535, LU",LU,$0,$0,-,VU,
2019,Related Corporation or Trust,Pacific Harbor Special Holdings Ltd,-,Investments,"PO Box 957 Offshore Incorporations Tortola, British Virgin Islands, VI",VI,$0,$0,-,VU,
2020,Disregarded Entity,Dore Capital LLC,26-4337602,Investments,"2100 West End Suite 1000 Nashville, TN, 37203",DE,$0,$0,-,VU,
2020,Disregarded Entity,Dore Capital Real Estate LLC,26-4581498,Investments,"2100 West End Suite 1000 Nashville, TN, 37203",DE,$0,$0,-,VU,
2020,Disregarded Entity,Star V Partners LLC,-,Investments,"2100 West End Suite 1000 Nashville, TN, 37203",TN,"$182,101,971","$2,173,566,137",-,VU,
2020,Related Partnership,Dore Capital LP,26-4337679,Investments,"2100 West End Suite 1000 Nashville, TN, 37203",DE,"$528,158","$30,477,696",-,VU,
2020,Related Partnership,Dore Capital Real Estate LP,26-4581574,Investments,"2100 West End Suite 1000 Nashville, TN, 37203",DE,"$2,142,562","$23,953,323",-,VU,
2020,Related Partnership,Altos Hybrid 2 V LLC,82-2083773,Investments,"2882 Sand Hill Road, Suite 100 Menlo Park, CA 94025",DE,"-$401,720","$21,823,559",-,-,Not general or managing partner
2020,Related Partnership,Valar Co-Invest 7 LP,84-1990189,Investments,"915 Broadway, Suite 1101, New York, NY 10010",DE,$0,"$5,632,490",-,-,Not general or managing partner
2020,Related Partnership,Valar Co-Invest 9 LP,85-0661620,Investments,"915 Broadway, Suite 1101, New York, NY 10010",DE,$0,"$4,000,000",-,-,Not general or managing partner
2020,Related Partnership,Valar Velocity Holdings LP,85-0661620,Investments,"915 Broadway, Suite 1101, New York, NY 10010",DE,$0,$0,-,-,Not general or managing partner
2020,Related Partnership,Periscope IBH Holdings LLC,82-5263601,Investments,"One North Wacker Drive, Suite 4050 Chicago, IL 60606",DE,$0,"$2,519,935",-,-,Not general or managing partner
